frame,track_id,class_name,warning_type,distance_m,ttc_s,x1,y1,x2,y2
73,3,car,VEHICLE TOO CLOSE,4.1,,1104.6,389.6,1280.0,718.2
74,3,car,VEHICLE TOO CLOSE,4.8,,1133.1,436.5,1280.0,718.7
75,3,car,VEHICLE TOO CLOSE,5.2,,1153.0,461.3,1280.0,718.8
76,3,car,VEHICLE TOO CLOSE,5.2,,1169.3,457.8,1280.0,716.8
97,1,car,VEHICLE TOO CLOSE,7.3,1.9,870.8,467.4,1148.7,651.7
97,1,car,TTC WARNING,7.3,1.9,870.8,467.4,1148.7,651.7
98,1,car,VEHICLE TOO CLOSE,6.9,1.5,875.8,467.9,1168.0,662.5
98,1,car,TTC WARNING,6.9,1.5,875.8,467.9,1168.0,662.5
99,1,car,VEHICLE TOO CLOSE,6.7,1.3,883.4,467.3,1183.4,667.6
99,1,car,TTC WARNING,6.7,1.3,883.4,467.3,1183.4,667.6
100,1,car,VEHICLE TOO CLOSE,6.7,1.2,897.5,467.5,1198.9,669.6
100,1,car,TTC WARNING,6.7,1.2,897.5,467.5,1198.9,669.6
101,1,car,VEHICLE TOO CLOSE,6.1,1.0,895.5,466.4,1223.3,689.1
101,1,car,TTC WARNING,6.1,1.0,895.5,466.4,1223.3,689.1
102,1,car,VEHICLE TOO CLOSE,5.6,0.8,896.1,463.4,1244.9,703.7
102,1,car,TTC WARNING,5.6,0.8,896.1,463.4,1244.9,703.7
103,1,car,VEHICLE TOO CLOSE,5.4,0.7,907.4,464.0,1267.8,715.9
103,1,car,TTC WARNING,5.4,0.7,907.4,464.0,1267.8,715.9
104,1,car,VEHICLE TOO CLOSE,5.2,0.6,917.6,461.9,1280.0,720.0
104,1,car,TTC WARNING,5.2,0.6,917.6,461.9,1280.0,720.0
105,1,car,VEHICLE TOO CLOSE,5.2,0.6,934.4,461.5,1280.0,719.9
105,1,car,TTC WARNING,5.2,0.6,934.4,461.5,1280.0,719.9
106,1,car,VEHICLE TOO CLOSE,5.2,0.7,944.9,460.4,1280.0,720.0
106,1,car,TTC WARNING,5.2,0.7,944.9,460.4,1280.0,720.0
107,1,car,VEHICLE TOO CLOSE,5.2,0.8,955.9,458.5,1280.0,720.0
107,1,car,TTC WARNING,5.2,0.8,955.9,458.5,1280.0,720.0
108,1,car,VEHICLE TOO CLOSE,5.2,1.0,966.5,460.0,1280.0,720.0
108,1,car,TTC WARNING,5.2,1.0,966.5,460.0,1280.0,720.0
109,1,car,VEHICLE TOO CLOSE,5.3,1.4,983.1,456.2,1280.0,711.1
109,1,car,TTC WARNING,5.3,1.4,983.1,456.2,1280.0,711.1
110,1,car,VEHICLE TOO CLOSE,5.2,2.6,992.5,450.5,1280.0,707.9
110,1,car,TTC WARNING,5.2,2.6,992.5,450.5,1280.0,707.9
111,1,car,VEHICLE TOO CLOSE,5.1,5.2,1002.0,448.8,1280.0,711.9
112,1,car,VEHICLE TOO CLOSE,5.1,9.0,1015.9,451.5,1280.0,716.6
113,1,car,VEHICLE TOO CLOSE,5.1,,1031.5,453.6,1280.0,719.7
114,1,car,VEHICLE TOO CLOSE,5.1,,1043.5,453.6,1280.0,720.0
115,23,car,VEHICLE TOO CLOSE,5.2,,1171.5,456.3,1254.2,717.0
265,28,car,VEHICLE TOO CLOSE,4.7,,0.0,429.4,131.1,717.9
270,28,car,VEHICLE TOO CLOSE,4.8,,10.6,436.9,143.7,718.5
271,28,car,VEHICLE TOO CLOSE,4.7,,10.8,429.2,148.9,718.6
272,28,car,VEHICLE TOO CLOSE,4.6,,11.3,423.4,153.8,718.8
273,28,car,VEHICLE TOO CLOSE,4.4,,9.8,411.8,159.5,719.6
281,28,car,VEHICLE TOO CLOSE,4.3,,33.0,406.1,195.6,719.6
284,28,car,VEHICLE TOO CLOSE,4.3,,32.8,408.7,204.5,719.7
285,28,car,VEHICLE TOO CLOSE,4.4,,28.4,411.0,206.9,719.7
286,28,car,VEHICLE TOO CLOSE,4.4,,22.9,410.3,207.4,719.5
289,28,car,VEHICLE TOO CLOSE,4.5,,18.0,419.3,201.9,719.1
290,28,car,VEHICLE TOO CLOSE,4.6,,18.1,424.4,204.5,719.3
291,28,car,VEHICLE TOO CLOSE,4.5,,17.9,422.8,210.4,719.6
292,28,car,VEHICLE TOO CLOSE,4.5,,18.7,422.5,216.3,719.5
293,28,car,VEHICLE TOO CLOSE,4.6,,17.7,425.1,217.4,718.8
294,28,car,VEHICLE TOO CLOSE,4.7,,17.0,430.4,217.2,718.9
295,28,car,VEHICLE TOO CLOSE,4.6,,17.2,428.3,223.2,719.4
296,28,car,VEHICLE TOO CLOSE,4.7,,18.7,432.3,226.2,719.0
297,28,car,VEHICLE TOO CLOSE,4.7,,16.6,433.5,227.0,719.4
298,28,car,VEHICLE TOO CLOSE,4.8,,15.6,440.1,224.1,718.8
299,28,car,VEHICLE TOO CLOSE,4.9,,13.6,442.2,223.2,718.7
300,28,car,VEHICLE TOO CLOSE,4.9,,12.4,439.9,224.4,716.1
302,28,car,VEHICLE TOO CLOSE,4.8,,16.7,439.4,235.0,718.3
303,28,car,VEHICLE TOO CLOSE,4.9,,18.2,444.2,238.0,719.2
304,28,car,VEHICLE TOO CLOSE,4.9,,15.8,444.9,238.5,719.3
305,28,car,VEHICLE TOO CLOSE,4.9,,15.1,444.5,241.7,719.6
306,28,car,VEHICLE TOO CLOSE,4.9,,15.1,444.3,245.4,719.7
307,28,car,VEHICLE TOO CLOSE,4.9,,14.6,445.0,247.4,719.5
308,28,car,VEHICLE TOO CLOSE,4.9,,12.3,445.6,246.7,719.1
309,28,car,VEHICLE TOO CLOSE,5.0,,11.9,447.7,247.2,719.3
310,28,car,VEHICLE TOO CLOSE,5.0,,11.0,449.0,247.6,719.3
311,28,car,VEHICLE TOO CLOSE,5.0,,10.5,448.8,249.0,718.8
312,28,car,VEHICLE TOO CLOSE,5.0,,10.3,448.9,250.9,718.7
313,28,car,VEHICLE TOO CLOSE,5.0,,9.6,449.4,251.5,718.6
314,28,car,VEHICLE TOO CLOSE,5.0,,9.0,449.5,252.9,718.8
315,28,car,VEHICLE TOO CLOSE,5.0,,7.9,450.3,252.5,718.6
316,28,car,VEHICLE TOO CLOSE,5.0,,6.6,449.6,253.2,718.7
317,28,car,VEHICLE TOO CLOSE,5.0,,6.2,449.3,254.1,718.5
318,28,car,VEHICLE TOO CLOSE,5.0,,6.2,446.6,258.0,718.7
319,28,car,VEHICLE TOO CLOSE,5.0,,5.8,447.6,257.9,718.6
320,28,car,VEHICLE TOO CLOSE,5.0,,6.0,447.8,259.1,718.6
321,28,car,VEHICLE TOO CLOSE,5.0,,6.4,448.0,261.0,718.8
321,31,car,VEHICLE TOO CLOSE,7.0,,385.3,471.5,565.8,664.0
322,28,car,VEHICLE TOO CLOSE,5.0,,7.3,448.3,263.2,718.9
322,31,car,VEHICLE TOO CLOSE,7.2,,387.7,469.0,563.6,657.4
323,28,car,VEHICLE TOO CLOSE,5.0,,7.3,449.1,264.0,718.9
